us_state,lookback,month,humidity,region
Florida,L10Y,3,10.245054265986365,Southeast
Florida,L10Y,4,10.890360409617834,Southeast
Florida,L10Y,5,12.8199978363481,Southeast
Florida,L10Y,6,16.3250364589765,Southeast
Florida,L10Y,7,18.07400712244433,Southeast
Florida,L10Y,8,17.985567399616517,Southeast
Florida,L10Y,9,18.218787148625843,Southeast
Florida,L10Y,10,15.488751011362032,Southeast
Florida,L10Y,11,10.953516235956972,Southeast
Florida,L10Y,12,9.920348002484143,Southeast
Florida,L1Y,1,13.696886621947916,Southeast
Florida,L1Y,2,8.990921703560666,Southeast
Florida,L1Y,3,14.386383270358396,Southeast
Florida,L1Y,4,10.989597829450307,Southeast
Florida,L1Y,5,12.194932219098742,Southeast
Florida,L1Y,6,13.433131935729442,Southeast
Florida,L1Y,7,17.22409680808028,Southeast
Florida,L1Y,8,19.32737394691855,Southeast
Florida,L1Y,9,18.14717328681009,Southeast
Florida,L1Y,10,15.170378600711764,Southeast
Florida,L1Y,11,8.793971475099365,Southeast
Florida,L1Y,12,7.240873010107407,Southeast
Florida,L3Y,1,10.938562304682035,Southeast
Florida,L3Y,2,8.9465332476431,Southeast
Florida,L3Y,3,10.325022254727715,Southeast
Florida,L3Y,4,9.29775924587435,Southeast
Florida,L3Y,5,11.773440139071353,Southeast
Florida,L3Y,6,16.194328344197736,Southeast
Florida,L3Y,7,18.282500087650877,Southeast
Florida,L3Y,8,18.774242575377688,Southeast
Florida,L3Y,9,18.634392650246916,Southeast
Florida,L3Y,10,14.404945041512498,Southeast
Florida,L3Y,11,11.14226505774687,Southeast
Florida,L3Y,12,7.955298794969699,Southeast
Florida,L5Y,1,9.929473509532674,Southeast
Florida,L5Y,2,8.20030039417354,Southeast
Florida,L5Y,3,11.530188164066768,Southeast
Florida,L5Y,4,10.073818181287313,Southeast
Florida,L5Y,5,12.22279045849402,Southeast
Florida,L5Y,6,16.62135975323823,Southeast
Florida,L5Y,7,18.34889998557747,Southeast
Florida,L5Y,8,18.092454150012692,Southeast
Florida,L5Y,9,18.55149656291316,Southeast
Florida,L5Y,10,15.339398771877693,Southeast
Florida,L5Y,11,10.832609061310546,Southeast
Florida,L5Y,12,9.300330414711198,Southeast
Georgia,L10Y,1,6.582603146578376,Southeast
Georgia,L10Y,2,5.0014775934154905,Southeast
Georgia,L10Y,3,8.484539090138263,Southeast
Georgia,L10Y,4,7.703449042044368,Southeast
Georgia,L10Y,5,10.32223388419092,Southeast
Georgia,L10Y,6,13.851928150350043,Southeast
Georgia,L10Y,7,16.454579045069842,Southeast
Georgia,L10Y,8,16.48513175369673,Southeast
Georgia,L10Y,9,16.880109335112905,Southeast
Georgia,L10Y,10,11.98225027235475,Southeast
Georgia,L10Y,11,7.939239401346621,Southeast
Georgia,L10Y,12,7.2099209467633045,Southeast
Georgia,L1Y,1,12.029770812293119,Southeast
Georgia,L1Y,2,4.438240710431434,Southeast
Georgia,L1Y,3,12.952050835834747,Southeast
Georgia,L1Y,4,3.191409844270198,Southeast
Georgia,L1Y,5,7.032671414592646,Southeast
Georgia,L1Y,6,10.066604800704834,Southeast
Georgia,L1Y,7,16.255944437528797,Southeast
Georgia,L1Y,8,18.261400597831354,Southeast
Georgia,L1Y,9,16.6719509919489,Southeast
Georgia,L1Y,10,12.95718388874132,Southeast
Georgia,L1Y,11,6.7224302710009995,Southeast
Georgia,L1Y,12,4.470747415167408,Southeast
Georgia,L3Y,1,9.302738911396998,Southeast
Georgia,L3Y,2,4.460048534460867,Southeast
Georgia,L3Y,3,9.132874192202348,Southeast
Georgia,L3Y,4,3.6483025714082635,Southeast
Georgia,L3Y,5,9.093746688894297,Southeast
Georgia,L3Y,6,11.728350742430216,Southeast
Georgia,L3Y,7,16.428826751489588,Southeast
Georgia,L3Y,8,17.352662628617754,Southeast
Georgia,L3Y,9,17.086122192526524,Southeast
Georgia,L3Y,10,12.31010921053669,Southeast
Georgia,L3Y,11,6.699960264320037,Southeast
Georgia,L3Y,12,6.232692885855436,Southeast
Georgia,L5Y,1,7.456685139117254,Southeast
Georgia,L5Y,2,4.934313556489145,Southeast
Georgia,L5Y,3,10.235770337701979,Southeast
Georgia,L5Y,4,4.991812268433651,Southeast
Georgia,L5Y,5,9.761194722341559,Southeast
Georgia,L5Y,6,13.197869677153234,Southeast
Georgia,L5Y,7,16.778686147885512,Southeast
Georgia,L5Y,8,16.19569943544135,Southeast
Georgia,L5Y,9,17.055010454557223,Southeast
Georgia,L5Y,10,11.820829674068046,Southeast
Georgia,L5Y,11,7.415444250823448,Southeast
Georgia,L5Y,12,7.470182326690294,Southeast
Idaho,L10Y,1,1.6801288938124717,West
Idaho,L10Y,2,2.40835456135777,West
Idaho,L10Y,3,2.394612666944961,West
Idaho,L10Y,4,3.1440799286929457,West
Idaho,L10Y,5,3.7582980263733385,West
Idaho,L10Y,6,5.860439815612394,West
Idaho,L10Y,7,6.922916580620058,West
Idaho,L10Y,8,7.0245985003038145,West
Idaho,L10Y,9,5.922426599719332,West
Idaho,L10Y,10,4.937722999554259,West
Idaho,L10Y,11,4.145505529767086,West
Idaho,L10Y,12,2.7357716411360924,West
Idaho,L1Y,1,2.4835847100099144,West
Idaho,L1Y,2,2.261067454876981,West
Idaho,L1Y,3,1.6356739548920858,West
Idaho,L1Y,4,2.2201274121990497,West
Idaho,L1Y,5,5.135020933084058,West
Idaho,L1Y,6,5.372588922693432,West
Idaho,L1Y,7,7.738573647029221,West
Idaho,L1Y,8,12.328010108331577,West
Idaho,L1Y,9,4.3329693615142215,West
Idaho,L1Y,10,4.281931971372029,West
Idaho,L1Y,11,4.437592150333244,West
Idaho,L1Y,12,4.094153014174037,West
Idaho,L3Y,1,2.3342691737038175,West
Idaho,L3Y,2,2.6126110902506303,West
Idaho,L3Y,3,2.033936141890706,West
Idaho,L3Y,4,2.66390172637914,West
Idaho,L3Y,5,4.115900840316204,West
Idaho,L3Y,6,6.147795929547547,West
Idaho,L3Y,7,6.69458598395281,West
Idaho,L3Y,8,8.922229095403356,West
Idaho,L3Y,9,5.552698727373133,West
